848,845,845,845,-1,1473,1473,1473,1473,-1,-1,-1,549,735,549,552,-1,-1,849,845
845,845,848,845,845,-1,-1,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,845,849
845,848,845,849,845,845,845,-1,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,845
849,845,845,845,845,845,845,-1,1473,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1
845,849,845,848,845,845,845,-1,1473,1473,1473,1473,1473,-1,-1,-1,-1,-1,-1,-1
848,845,845,845,849,845,-1,-1,1473,1473,1473,1473,1473,-1,-1,-1,-1,-1,757,-1
849,845,849,845,845,-1,848,1473,1473,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1
848,849,845,845,-1,-1,-1,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
849,845,845,-1,-1,-1,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845
845,849,-1,-1,1473,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,769,461,462,845
848,845,845,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845,845
845,1473,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845,845
1473,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845,845,845,845
1473,1473,1473,-1,-1,-1,-1,-1,-1,-1,953,947,953,-1,-1,-1,845,845,849,845
845,-1,1473,-1,-1,-1,-1,-1,-1,781,947,950,845,845,845,845,848,848,848,845
845,1473,1473,-1,-1,-1,-1,-1,-1,788,-1,947,-1,845,845,849,848,845,845,847
849,1473,1473,1473,-1,-1,-1,-1,-1,781,-1,-1,-1,845,845,845,845,848,845,845
845,-1,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845,848,845,848
849,845,845,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845,845
848,848,845,849,1473,1473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,845
